artist,bio,listeners,playcount,similar_artist
Pablo Alborán,"Pablo Moreno de Alborán Ferrándiz (born on May 31, 1989 in Málaga), best known as Pablo Alborán, is a Latin Grammy nominated Spanish singer.

Alborán is the son of Spanish architect Salvador Moreno de Alborán Peralta and French Elena Ferrándiz Martínez. He is also the great-grandson of Francisco Moreno Fernández, 1st Marquess of Alborán, and has two siblings: Casilda and Salvador.

From a very young age, he was interested in learning to play various musical instruments such as piano <a href=""https://www.last.fm/music/+noredirect/Pablo+Albor%C3%A1n"">Read more on Last.fm</a>",283004,6350533,"['David Bisbal', 'Manuel Carrasco', 'Jesse & Joy', 'Camila', 'Reik']"
Beta Radio,"Beta Radio is an American band from Wilmington, North Carolina. The group consists of Benjamin Mabry and Brent Holloman. Stylistically, their music features an amalgam of folk, indie, chamber pop, rock and Americana influences.

Musically reminiscent at times of Bon Iver’s atmosphere heavy For Emma, Forever Ago or the Grateful Dead’s “Mountains of the Moon” from their 1969 release Aoxomoxoa, the sonic landscape of the band's album Seven Sisters is sparse but far from empty. <a href=""https://www.last.fm/music/Beta+Radio"">Read more on Last.fm</a>",302793,2246463,"['Old Sea Brigade', 'Austin Basham', 'Hayden Calnin', 'Ocie Elliott', 'Woodlock']"
Pignoise,"Pignoise is a Spanish rock / pop punk band comprising three members: Álvaro on guitar and voice, Polo on drums, and Pablo on bass. <a href=""https://www.last.fm/music/Pignoise"">Read more on Last.fm</a>",75635,1427737,"['El Canto del Loco', 'Despistaos', 'La La Love You', 'Melendi', 'Maldita Nerea']"
Djo,"Djo is the musical moniker of American actor/musician Joe Keery, known for his role of Steve Harrington in the hit Netflix show Stranger Things, as well as being a former member of Chicago psychedelic rock band  Post Animal. On September 13th 2019, he released his debut album 'Twenty Twenty', which was supported by the singles ""Roddy"", released July 19, 2019,  ""Chateau (Feel Alright),"" August 9, 2019, and ""Mortal Projections,"" August 30, 2019. 

DECIDE <a href=""https://www.last.fm/music/Djo"">Read more on Last.fm</a>",2250593,86959447,"['Post Animal', 'Wallows', 'Balu Brigada', 'Tame Impala', 'The 1975']"
Zyra," <a href=""https://www.last.fm/music/Zyra"">Read more on Last.fm</a>",4871,25075,"['Johnny Stanec', 'thisisNAMASTE', 'Laura newman', 'Tiziano Albanese', 'Noetic Nega']"
Jaimie Vernon,"President of Bullseye Records of Canada since its inception in 1985. Currently working on solo album #3....so check out the latest ""Time Enough At Last"". <a href=""https://www.last.fm/music/Jaimie+Vernon"">Read more on Last.fm</a>",731,2601,"['Splitsville', 'The Greenberry Woods', 'Myracle Brah', 'The Red Button', 'Fotomaker']"
Peach Tree Rascals,"From Bay Area, California, the group Peach Tree Rascals js formed by Dom (producer/DJ), Isaak, Tarrek, Joseph (vocalists) and Jorge (creative director). They all meet at school and claim to be inspired from various artists including Kendrick Lamar and The Beatles. Their music has alternative rock, jazz, funk and hip-hop elements. They're proud of their origins, being sons of immigrants from Mexico, Philippines and Palestine. The group is self funding by its own members <a href=""https://www.last.fm/music/Peach+Tree+Rascals"">Read more on Last.fm</a>",521387,6297866,"['Surfaces', 'Tai Verdes', 'Public Library Commute', 'Dreamer Boy', 'Paul Partohap']"
Ben L'Oncle Soul,"Benjamin Duterde (born 1984), a.k.a. Ben L'Oncle Soul ('Ben the Soul Uncle'), is a French nu-soul singer from the town of Tours, France, who has released seven full-length studio albums and a live album since 2010.

Duterde first gained prominence in his home country with the Soul Wash EP (2009), which featured six covers (Gnarls Barkley, The White Stripes, Spice Girls and the like).  Ben's first full-length album, entitled simply Ben L'Oncle Soul was released in 2010 and was put out internationally on the Motown label. <a href=""https://www.last.fm/music/Ben+l%27Oncle+Soul"">Read more on Last.fm</a>",251502,3081271,"['Kimberose', 'Ayo', 'Selah Sue', 'Charles Pasi', 'Otis Kane']"
maye,"Maye es una cantautora venezolana nacida en la ciudad de Caracas, pero criada en Miami Florida. 'My Love' es el primer sencillo de la artista y ha tenido muy buena respuesta del público. El haber nacido en el país latino pero criada en Estados Unidos, ha generado que Maye tenga dos diferentes formas de expresión: el inglés y el español y en Cultura Colectiva habló un poco con nosotros acerca de cómo se siente al respecto. «No me siento la misma persona cantando en inglés y en español <a href=""https://www.last.fm/music/MAYE"">Read more on Last.fm</a>",428182,6117276,"['Dannylux', 'Julieta Venegas', 'Danny Ocean', 'Paloma Mami', 'La Garfield']"
AnnenMayKantereit,"AnnenMayKantereit is a three-piece band that hails from Cologne, Germany. The group, which takes its name from the surnames of its founding members Annen, May, and Kantereit, initially formed in 2011 while the members were still attending Schiller-Gymnasium school in Sülz. 

The band started performing on the streets of Cologne, with videos of their performances garnering a following on social media. During one of their practice sessions, they eventually welcomed double bass player Lars Lötgering into the fold.  <a href=""https://www.last.fm/music/AnnenMayKantereit"">Read more on Last.fm</a>",480130,13425911,"['Provinz', 'Mayberg', 'Von wegen Lisbeth', 'Kraftklub', 'Jeremias']"
Midnight Generation,"Midnight Generation is a disco electronic pop group from Chihuahua, Mexico led by Fernando Mares, who started delivering funk since 2015 from Mexican basements to stages at festivals in North and South America.

The MG Boys created expectancy supporting shows such as Chromeo, Sticky Fingers, Polo & Pan, and Camilo Séptimo. Midnight Generation has 2 LP`s featuring songs like “Young Girl”, “Calling You”, and “Together”. In 2023, Fernando, Samy, Carlos, and Bica released their latest album, “Afterlife”. <a href=""https://www.last.fm/music/Midnight+Generation"">Read more on Last.fm</a>",57941,818229,"['Franc Moody', 'Poolside', 'Paco Versailles', 'Kraak & Smaak', 'Chromeo']"
Vacations,"There are multiple artists that perform under the name Vacations:

1. An alternative rock group based in Newcastle, Australia. Comprised of Campbell Burns, Jake Johnson, Nate Delizzotti and Joseph Van Lier. The pleasant sounds of the four piece  have earned them love at home and across the sea. Their music could be faithfully summarised as vibes, fitting somewhere in the shoeboxes of indie rock and glistening psych-pop. Their latest release (appropriately titled Vibes) features the tuneful croons of the singer Campbell Burns between shining <a href=""https://www.last.fm/music/VACATIONS"">Read more on Last.fm</a>",1856295,67733365,"['Strawberry Guy', 'Yot Club', 'Vansire', 'Hotel Ugly', 'Current Joys']"
Fuel Fandango,"Fuel Fandango is a duo from Spain formed by Ale Acosta and Nita.

Fuel Fandango looks can be deceiving. Ale Acosta, with his harmless guitar and Nita, tiny and fragile at a first glance impression, both are fire on stage. Their music proposal is ambitious, rich, fun. Its purpose is dancing, spark the fun, in order to get that they trust their live acts to a experienced music formation.

Fuel Fandango is electronic organic music, rock, funk and a subtle touch of southern flamenco music. <a href=""https://www.last.fm/music/Fuel+Fandango"">Read more on Last.fm</a>",36797,716900,"['DePedro', 'Amaral', 'Anni B Sweet', 'Dover', 'Delaporte']"
Kurt Hugo Schneider,"Kurt Hugo Schneider (born September 7, 1988) is an American video editor, producer, musician, singer and songwriter, whose primary medium is YouTube music videos. He produces music videos for various YouTube musicians, such as Sam Tsui, including the musical medley videos in which Tsui sings as a one-man choir, and Avicii's ""Waiting For Love"".

Schneider was born in Baltimore, Maryland to Laurie S. Auth, a visual artist, and Michael Schneider, a mathematician. <a href=""https://www.last.fm/music/Kurt+Hugo+Schneider"">Read more on Last.fm</a>",235388,2667288,"['Sam Tsui', 'Alex Goot', 'Madilyn Bailey', 'Tyler Ward', 'Jasmine Thompson']"
RY X,"RY X is Australian singer-songwriter and producer Ry Cuming (born in Angourie, NSW). He was the first artist signed to the Stockholm-based label Dumont Dumont. In 2014, he became the lead singer of the band The Acid. 

Cuming started writing music at 16, after he heard Buckley's album Grace. His song ""Let Your Spirit Fly"" appeared on the soundtrack of the 2006 film ""Hoot"". He moved to Los Angeles, California, where he was signed by Jive Records, releasing his self-titled debut album on 20 July 2010. <a href=""https://www.last.fm/music/RY+X"">Read more on Last.fm</a>",758814,12404918,"['Haux', 'Blanco White', 'Ben Howard', 'James Vincent McMorrow', 'Harrison Storm']"
Yumi Zouma,"Yumi Zouma are a New Zealand alternative pop band from Christchurch, Canterbury. The band consists of Christie Simpson (vocals, keyboards), Josh Burgess (guitar, bass guitar, vocals, keyboards), Charlie Ryder (guitar, bass guitar, keyboards), and Olivia Campion (drums). The band's name is an amalgamation of the two friends that encouraged the group to start writing together.

The group's origins trace back to their history of playing concerts together in Christchurch. <a href=""https://www.last.fm/music/Yumi+Zouma"">Read more on Last.fm</a>",434867,8138662,"['Barrie', 'Hazel English', 'TOPS', 'Fazerdaze', 'Fickle Friends']"
Jon Bryant,"Jon Bryant (born 22 January 1986) is a Canadian singer-songwriter based in Halifax, Nova Scotia.

Since releasing his debut album and receiving nation-wide exposure through itunes, Bryant has toured relentlessly throughout North America. After a successful first year, (ECMA, Music Nova Scotia and Covenant award nominations and three cross Canada tours) 2011 proved to be the first step towards a very bright future. 

Described as like a watercolor painting <a href=""https://www.last.fm/music/Jon+Bryant"">Read more on Last.fm</a>",120029,769441,"['Haux', 'Ocie Elliott', 'Joshua Hyslop', 'Salt Tree', 'Canyon City']"
Father John Misty,"Father John Misty, or J. Tillman, has been recording/releasing solo albums since 2003. Josh also played drums for Seattle’s Fleet Foxes from 2008-2011.

On January 31st 2012, he released the first single, 'Hollywood Forever Cemetery Sings', for his debut album under the Father John Misty moniker, ""Fear Fun"". The Phil Ek mixed and Jonathan Wilson produced LP was released on May 1st 2012 through Sub Pop (U.S.) and Bella Union (U.K.)

To date, Father John Misty has released 6 studio albums: Fear Fun (2012) <a href=""https://www.last.fm/music/Father+John+Misty"">Read more on Last.fm</a>",1422734,58068708,"['J. Tillman', 'Fleet Foxes', 'Destroyer', 'Kevin Morby', 'Bon Iver']"
David Otero,"David Otero Martín (Madrid, 17 de abril de 1980) es un cantante, guitarrista y compositor español. Fue miembro del grupo de pop rock El Canto del Loco (1994-2010). Tras iniciar su carrera en solitario al principio firmó sus discos como El Pescao, y en la actualidad con su propio nombre, David Otero. <a href=""https://www.last.fm/music/David+Otero"">Read more on Last.fm</a>",21851,251871,"['Sinsinati', 'Lérica', 'ELYELLA', 'Comandante Twin', 'Noan']"
Still Woozy,"Sven Eric Gamsky, known professionally as Still Woozy (born June 23, 1992), is an American singer and songwriter from Oakland, California. He is signed to to Interscope Records. Gamsky grew up in Moraga, California, in the San Francisco Bay Area. 

After he went viral with the R&B-inflected ""Goodie Bag"" in 2017, he continued to release one-off tracks until presenting the Lately EP in 2019. It included another streaming hit, ""Habit.""

Growing up in Moraga <a href=""https://www.last.fm/music/Still+Woozy"">Read more on Last.fm</a>",1187108,43528303,"['Goth Babe', 'Gus Dapperton', 'Current Blue', 'Ritt Momney', 'Jawny']"
Los Flechazos," <a href=""https://www.last.fm/music/Los+Flechazos"">Read more on Last.fm</a>",16783,191610,"['Cooper', 'Brighton 64', 'la granja', 'La Costa Brava', ""Surfin' Bichos""]"
Kid Francescoli,"
In 2000, Mathieu Hocine started his project ""Kid Francescoli"". He was soon joined by Laetitia Abello (vocals), David Borras (keyboards) and Olivier Scalia (bass). They played their first gigs in 2004.

Behind the omnipresent melody, Kid Francescoli offers intimate lyrics in English and Italian, many dealing with young men's angst and the dreams of a girl at the dawn of her thirtieth birthday. The music, with its tenacious refrains and its heartfelt instrumentals, shows the inspiration of Air and Grandaddy. <a href=""https://www.last.fm/music/Kid+Francescoli"">Read more on Last.fm</a>",291367,4193987,"['French 79', 'Isaac Delusion', 'Thylacine', 'Kazy Lambist', 'Jabberwocky']"
KREAM,"
Made up of two brothers from Bergen, Norway, KREAM is a project focused on energetic dance music with an emphasis on classical songwriting. Daniel and Markus Slettebakken began producing at a young age, each developing into their own role in the process. The duo has already seen several remixes reach streams in the multi-millions, racking up 40+ million plays on SoundCloud alone. The pair quickly found a home at Big Beat/Atlantic this year, where they've been releasing numerous originals including ""Love You More <a href=""https://www.last.fm/music/Kream"">Read more on Last.fm</a>",313889,3798080,"['Hayla', 'John Summit', 'Elderbrook', 'Eli & Fur', 'notsobad']"
Aidan Swank," <a href=""https://www.last.fm/music/Aidan+Swank"">Read more on Last.fm</a>",88833,1364250,"['keltiey', 'cholorofilm', 'Tuxy Music', 'stxlkin', 'BOY FANTASY']"
Varry Brava,"Varry Brava is a Spanish indie pop band created in Murcia in 2009. It is formed by Óscar Ferrer (vocals), Aarön Sáez (keyboards) and Vicente Illescas (guitar).

The group's name comes from joining Barry White's name with the song ""Brava"", by Italian singer Mina Mazzini.

In 2009 their self-produced demo Ídolo was released. Composed of ten songs, in which they show a clear influence of the Spanish pop of the 1980s, such as Nacha Pop and Radio Futura, spiced with disco music and reminiscences of new romantic. <a href=""https://www.last.fm/music/Varry+Brava"">Read more on Last.fm</a>",28420,598998,"['Miss Caffeina', 'Sidonie', 'Viva Suecia', 'Lori Meyers', 'Izal']"
José Madero,"José Madero Vizcaíno, better known as Pepe Madero is a singer, musician, composer, producer, lawyer, writer and Mexican podcast. He began his musical career as a vocalist in the renowned Mexican band of Rock Pxndx, from his training in 1996 to the announcement of his indefinite rest in 2016. <a href=""https://www.last.fm/music/Jos%C3%A9+Madero"">Read more on Last.fm</a>",45727,4698290,"['Serbia', 'División Minúscula', 'Odisseo', 'Motel', 'Reyno']"
WILD,"There is more than one artist with this name:

1) Wild were a five-piece Classical Contemporary female group, formed in 2002. They were often compared to Bond, due to the very similar makeup and style of both groups.

Although Katie, Izzy Johnston, and Chantal Leverton were British,  Iva Cojic and Andjelka Ristic were born in Serbia.

Wild played a range of different genres on their debut album Time, and their music ranged from Latin beats to Celtic inspired. <a href=""https://www.last.fm/music/Wild"">Read more on Last.fm</a>",134882,1333010,"['The Piano Guys', 'Ripe', 'John Powell', 'Oh Honey', 'Marcus Warner']"
Martin Gallop," <a href=""https://www.last.fm/music/Martin+Gallop"">Read more on Last.fm</a>",7834,33681,"['Stepan Konicek', 'Microwave Monkeys', 'Manuel Riva & Eneli & Eneli', 'Swan Williams', 'Victor Biliac']"
Nightmares On Wax,"George Herbert Evelyn (born 15 January 1970), known professionally as Nightmares on Wax or DJ E.A.S.E., is an English DJ and record producer from Leeds. His music has primarily been released on Warp Records, and he is currently based in Ibiza. Nightmares on Wax began as a group, initially comprising Evelyn and John Halnon, and later including Kevin Harper.

Evelyn was introduced to soul music by his father and sister, including artists such as Quincy Jones and Curtis Mayfield <a href=""https://www.last.fm/music/Nightmares+on+Wax"">Read more on Last.fm</a>",1221137,23033058,"['Tosca', 'Thievery Corporation', 'Kruder & Dorfmeister', 'Quantic', 'Fila Brazillia']"
Sarah Rebecca," <a href=""https://www.last.fm/music/Sarah+Rebecca"">Read more on Last.fm</a>",13801,67651,"['Flecks', 'KÅRP', 'Stacks', 'Lahra', 'pr0files']"
Jordan Rakei,"Jordan Rakei, now based in London, started his career in 2012 playing keyboards in many acts around Brisbane and New Zealand. He self-released his debut six-track EP Franklin' s Room, in September 2013 followed by Groove Course in August 2014 through Soul has no tempo. He also featured on the FKJ song 'Learn to fly'. In 2015, he featured on 'Sunrise / Beautiful' by Ta-Ku, 'Wake Up This Day' by Tom Misch and 'Masterpiece' by Disclosure. 

'The light' and 'Talk to me' were released as an advance of 'Cloak' <a href=""https://www.last.fm/music/Jordan+Rakei"">Read more on Last.fm</a>",378080,6307550,"['Tom Misch', 'Oscar Jerome', 'Aaron Taylor', 'Charlotte Day Wilson', 'Moonchild']"
M-Clan,"M-Clan is a Spanish rock band. The band, initially named Murcíelagos Clan, was formed in Murcia, Spain in 1992 by Carlos Tarque and Ricardo Ruipérez.

In March 1993 the band added Santiago Campillo, Pascual Saura, Juan Otero and Iñigo Uribe, under the name 'El clan de los murciélagos', (clan of bats), which soon became 'M-Clan'. The band's sound was heavily influenced by Southern rock artists. The group currently consists of Carlos Tarque (vocals), J. <a href=""https://www.last.fm/music/M-Clan"">Read more on Last.fm</a>",117811,1718865,"['Fito Y Fitipaldis', 'Celtas Cortos', 'El Canto del Loco', 'Pereza', 'Los Ronaldos']"
Men I Trust,"Men I Trust is Dragos, Emma, Jessy, Mathieu and Alexis. Founded in 2014, the dance band from Montreal, Canada loves smooth sounds, calm melodies and simple rhythms that relax, but make your right foot tap and your chin bounce on the beats. They record, mix, master and shoot their music videos. 

Jessy and Dragos knew each other since their fourth year of high school. Back then (mid-2000’s), Dragos had somewhat of a background in classical piano and Jessy mastered the dark and esoteric art of the metal guitar solist. <a href=""https://www.last.fm/music/Men+I+Trust"">Read more on Last.fm</a>",2131599,123297566,"['Tokyo Tea Room', 'strongboi', 'The Marías', 'Moon Panda', 'MUNYA']"
Dorian Electra,"Dorian Electra Fridkin Gomberg is an American singer, songwriter and performance artist. Their debut studio album, Flamboyant, was released in 2019, followed by their second studio album, My Agenda, in 2020.

Electra first drew national attention in 2010 with the music video ""I'm in Love with Friedrich Hayek"", which lauded the philosophy of the Austrian economist Friedrich Hayek and garnered commentary from the modern Austrian theory professor Steven Horwitz. <a href=""https://www.last.fm/music/Dorian+Electra"">Read more on Last.fm</a>",380869,18565759,"['Alice Longyu Gao', 'Hannah Diamond', 'Namasenda', '100 gecs', 'That Kid']"
Seafret,"Seafret is a duo formed by Jack Sedman (vocals) and Harry Draper (guitar) in Bridlington, UK.

The name Seafret, as well as being a pun on the guitar fret board, is also a local term for the two boys; it applies to the rolling mists that come in off the North Sea during summer. Now living in London, the sea is what the duo miss the most.

First meeting at an open mic night around 2011, the two had distinctly different levels of experience. Though a few years younger <a href=""https://www.last.fm/music/Seafret"">Read more on Last.fm</a>",1076265,18556695,"['Amber Run', 'BANNERS', 'Novo Amor', 'James Bay', 'Vance Joy']"
The Staves,"There are at least two bands named The Staves:
1)  a three-member folk-rock band from the UK; and 
2) a baroque pop band from New York City.

1) a three-member folk-rock band from the UK.

Emily, Jessica, and Camilla Staveley-Taylor have been making music together since they were children, growing up in Watford, UK, England. Brought up in a house that echoed to the sounds of Simon & Garfunkel, Crosby, Stills & Nash and The Beatles, singing in perfect 3-part harmony came naturally to these three sisters. <a href=""https://www.last.fm/music/The+Staves"">Read more on Last.fm</a>",460624,5598491,"['Laura Marling', 'This Is the Kit', 'Lucy Rose', 'First Aid Kit', 'Fionn Regan']"
Brandon Jenner," <a href=""https://www.last.fm/music/Brandon+Jenner"">Read more on Last.fm</a>",51754,197886,"['Bruno Merz', 'Mosa Wild', 'The Western Den', 'Elliot Root', 'Luke Mitrani']"
Orla Gartland,"Orla Gartland (born 3 February 1995) is an Irish singer-songwriter from Dublin known for her quirky folk pop, bursting with personality and catchy melodies. Her songs are all tied together by her distinctive, celtic-infused vocal and trademark animated live performance. 

Following 11.5 million hits on youtube and almost 80k likes on Facebook, Gartland independently released her first single in 2011 which reached top 10 iTunes placement in over 17 countries. Since then, 2 EPs have followed. <a href=""https://www.last.fm/music/Orla+Gartland"">Read more on Last.fm</a>",458689,10573011,"['Fizz', 'dodie', 'Greta Isaac', 'Tessa Violet', 'Martin Luke Brown']"
Wolf Alice,"Wolf Alice is a rock band from North London, UK formed in 2010. The lineup consists of Ellie Rowsell (vocals, guitar), Joff Oddie (guitar), Theo Ellis (bass), and Joel Amey (drums).

The band began in 2010, initially as a solo project of Ellie Rowsell, with the name taken from a short story by Angela Carter. She was joined by guitarist Joff Oddie and later by Joel Amey and Theo Ellis. They released a self-titled EP, Wolf Alice in 2012 as well as a <a href=""https://www.last.fm/music/Wolf+Alice"">Read more on Last.fm</a>",1248923,56949881,"['Wet Leg', 'The Last Dinner Party', 'Black Honey', 'Sunflower Bean', 'The Big Moon']"
Therapie TAXI,"Therapie Taxi, also typed as Therapie TAXI, is a French pop rock and hip-hop band. Formed in 2013 in Paris, the band broke up in October 2021, after an eight-year career.

In 2013, Adélaïde Chabannes posted an ad on EasyZic, a social network for musicians, to which Raphaël Faget-Zaoui replied.

They met in Paris in the Pigalle district. During this meeting, the 17-year-old guitarist-cellist played Jimmy by Moriarty. They decided to form a band and rehearsed on Sundays <a href=""https://www.last.fm/music/Therapie+TAXI"">Read more on Last.fm</a>",137084,3697045,"['Zaoui', 'Adé', 'Hoshi', 'Clara Luciani', 'Eddy De Pretto']"
Hollow Coves,"Hollow Coves is an indie folk band hailing from Brisbane, Australia. The band, consisting of Ryan Henderson and Matt Carins, was formed in 2013. Henderson and Carins both contribute vocals and play the guitar in the band.

Ryan Henderson discovered his passion for music during his high school years when he attended the Woodford Folk Festival and was captivated by the performances of Angus & Julia Stone. Inspired by their music, he embarked on a journey to learn the guitar and pursue a career in music. <a href=""https://www.last.fm/music/Hollow+Coves"">Read more on Last.fm</a>",616703,7130998,"['Harrison Storm', 'Ocie Elliott', 'Dustin Tebbutt', 'Sons of the East', 'Old Sea Brigade']"
Jakob,"There is more than one artist with this name, including: 
1) Jakob is a New Zealand post-rock band, based in Napier, Hawke's Bay in July 1998. 
2) Jakob is a Norwegian indie artist. 
3) Jakob is a German solo artist. 

1) Jakob is a New Zealand post-rock band, based in Napier, Hawke's Bay, New Zealand. The band consists of guitarist Jeff Boyle; bassist Maurice Beckett; and drummer Jason Johnston. They have been compared to such bands as Mogwai, Sonic Youth <a href=""https://www.last.fm/music/Jakob"">Read more on Last.fm</a>",844099,16031348,"['Meniscus', 'Caspian', 'Sleepmakeswaves', 'Red Sparowes', 'I Hear Sirens']"
Freedom Fry,"Freedom Fry is an American indie pop duo from Los Angeles, California, United States, composed of Parisian-born Marie Seyrat and American Bruce Driscoll.

Their music features minimalistic sounds and driving beats combined with various organic instrumentation - from autoharps and ukuleles to harpsichords and dulcimers. Seyrat's breathy, soft, French-accented vocals combine hauntingly with Driscoll's in both English and French.

Their single Earthquake was released out in 2012 via their own label Caveman Arts Society. <a href=""https://www.last.fm/music/Freedom+Fry"">Read more on Last.fm</a>",254897,1851754,"['Karen Elson', 'Champs', 'Honeymoan', 'Telenova', 'Brazzaville']"
Appleby,"An artist whose existence could only happen through the internet, Appleby began his career in 2014 by uploading the song ""Beauty in Destruction"" to Soundcloud. The song itself, produced by drip-133 and Steamy Peen, channeled the shadowy ""PBR&B"" aesthetics of artist like The Weeknd while adding in the cadence and soul-bearing lyricism of artists like Frank Ocean and James Blake. The track quickly caught fire, and earned the respect of fellow alt-R&B star Corbin and his group The Stand4rd. <a href=""https://www.last.fm/music/Appleby"">Read more on Last.fm</a>",58349,317839,"['Jon Waltz', 'Sean Sison', 'Matthew Chaim', 'Joshua J', 'Shoos Off']"
Mattyeux,"Matthieu Reynaud, known artistically as Mattyeux, was born on November 3, 2001 in France. From an early age, he showed a strong interest in music, influenced by his father, who was a musician and taught him how to produce. In 2018, Matthieu formed the electropop duo  Videoclub  with his then-fiancee, Adèle Castillon. The group quickly gained notoriety with their single “Amour Plastique”, released in September 2018, which captured the essence of the synthpop sound and became a hit on digital platforms. <a href=""https://www.last.fm/music/Mattyeux"">Read more on Last.fm</a>",67243,837261,"['Adèle Castillon', 'Videoclub', 'Maxence', 'Therapie TAXI', 'Requin Chagrin']"
Ivan Ferreiro,"Fix your tags, this is Iván Ferreiro <a href=""https://www.last.fm/music/+noredirect/Ivan+Ferreiro"">Read more on Last.fm</a>",68512,2191795,[]
Camp Claude,"Behind this mysterious name hides a cosmopolitan and transgenerational electro-pop trio. At the microphone, Diane Sagnier, a young photographer who has mainly worked in the fashion world but also author of photo shoots for groups and artists such as Metronomy or Melody's Echo Chamber (whose photo of the cover of the self-titled album).

The young artist has always had musical inclinations that she put into practice after crossing paths, in 2013, with Swedish Leo Hellden and Englishman Mike Giffts of the group Tristesse Contemporaine. <a href=""https://www.last.fm/music/Camp+Claude"">Read more on Last.fm</a>",120288,944380,"['Las Aves', 'Agar Agar', 'Isaac Delusion', 'Tristesse Contemporaine', 'Her']"
"Dream, Ivory","Dream, Ivory is a duo composed of brothers Christian and Louie Baello. The band is the product of long hours spent in their bedroom; Christian helming the production and Louie growing into lead vocalist. 

Their earliest musical experiments included reenacting guitar solos from performance videos they watched online and sharing their own cover songs on YouTube, which would be the impetus to creating their own art. 

With both new and recurring themes in their music <a href=""https://www.last.fm/music/Dream,+Ivory"">Read more on Last.fm</a>",1122538,22178380,"['Acid Ghost', 'Strawberry Guy', 'Current Joys', 'VACATIONS', 'Cemeteries']"
Austin Basham,"Austin Basham is an American folk singer-songwriter from Austin, Texas. <a href=""https://www.last.fm/music/Austin+Basham"">Read more on Last.fm</a>",136424,680377,"['Beta Radio', 'Darlingside', 'Peter Bradley Adams', 'Matthew and the Atlas', 'Joshua Burnside']"
Pastora Soler,"Pilar Sánchez Luque (born September 27, 1978 in Coria del Río, Seville), better known by her stage name Pastora Soler, is a Spanish singer. She is also a songwriter and her compositions usually mix copla or flamenco with or pop or electronic music. Soler represented Spain in the Eurovision Song Contest 2012 in Baku, Azerbaijan with ""Quédate Conmigo (Stay With Me)"".

A precocious chanteuse, she started singing coplas and flamenco songs at several events when she was a child. <a href=""https://www.last.fm/music/Pastora+Soler"">Read more on Last.fm</a>",48672,767934,"['Ruth Lorenzo', 'Malú', 'Vanesa Martín', 'Edurne', 'Isabel Pantoja']"
Wallows,"Wallows is an American alternative rock band based in Los Angeles composed of Dylan Minnette (guitar and vocals), Braeden Lemasters (guitar and vocals), and Cole Preston (drums and vocals). The band began releasing songs independently in April 2017 starting with ""Pleaser"", which reached number two on the Spotify Global Viral 50 chart.

In April 2017, the band released their first single under the Wallows moniker, ""Pleaser"". The song would eventually <a href=""https://www.last.fm/music/Wallows"">Read more on Last.fm</a>",2038795,124586065,"['Dayglow', 'Inhaler', 'Declan McKenna', 'Coin', 'HUNNY']"
Mighty Oaks,"Mighty Oaks is the Berlin-based folk project of Claudio Donzelli, Ian Hooper, and Craig Saunders. The name is a byproduct of the group's affinity for nature, and their notion that the saying ""mighty oaks from little acorns grow"" is a reflection of their development together. The band has released four EPs since their formation in 2010: ""Mighty Oaks"" (2011), ""Driftwood Seat"" (2011), ""Just One Day"" (2012) and ""Brother"" (2014). Their first LP, ""Howl"", was released in early 2014 on Universal Records. <a href=""https://www.last.fm/music/Mighty+Oaks"">Read more on Last.fm</a>",186714,2310175,"['Sons of the East', ""Bear's Den"", 'Passenger', ""L'Aupaire"", 'Salt Tree']"
Poppy Ajudha,"Poppy Ajudha is a singer songwriter and newly signed model from South East London. Being influenced by the soulful rare grooves and reggae of her childhood she marries jazz and blues with funk beats in the 6 - piece band she sings in, as well as slow and soulful when performing acoustically. <a href=""https://www.last.fm/music/Poppy+Ajudha"">Read more on Last.fm</a>",104304,523344,"['Yazmin Lacey', 'Ego Ella May', 'Jordan Rakei', 'Lady Blackbird', 'Tom Misch']"
Kazy Lambist,"We don't need to introduce Kazy Lambist anymore... His elegant electro-pop will melt any soul and his tracks "" On You "", "" Doing Yoga "" or "" Be Yourself "" will make you dance without any fuss. Some qualifiers to define his music: soaring, dreamy, tropical, solar, chill-wave... No marked path with him, except a refusal of the repetition and the infinite loop.

Recently settled in Rome, Kazy Lambist - accompanied by the Italian Tutti Fenomeni - immerses us, with his last single ""Nasty"", in an Italian atmosphere which is his own. <a href=""https://www.last.fm/music/Kazy+Lambist"">Read more on Last.fm</a>",189853,2166802,"['Camel Power Club', 'Kid Francescoli', 'Jabberwocky', 'Synapson', 'Møme']"
beabadoobee,"Beatrice Kristi Ilejay Laus (born 3 June 2000), known professionally as Beabadoobee, is a Filipino-British singer-songwriter. Between 2018 and 2021, she released five extended plays (EPs) on the independent label Dirty Hit: ""Lice"" (2018), ""Patched Up"" (2018), ""Loveworm"" (2019), ""Space Cadet"" (2019), and ""Our Extended Play"" (2021). Her debut studio album, ""Fake It Flowers,"" was released in October 2020 and received critical acclaim. Her second studio album, ""Beatopia,"" was released on 15 July 2022 and included the single ""The Perfect Pair. <a href=""https://www.last.fm/music/beabadoobee"">Read more on Last.fm</a>",2550011,308311956,"['Clairo', 'Shelly', 'The Marías', 'Unflirt', 'Mitski']"
